case_id,rank_or_context,harvard_or_other_plate,poss_plate,ra_deg,dec_deg,match_sep_arcsec,harvard_snr,poss_e_snr,poss_o_snr,harvard_polarity,poss_e_polarity,poss_o_polarity,gaia_nearest_arcsec,gaia_g_mag,panstarrs_nearest_arcsec,blue_plate_nearest_arcsec,priority,classification,why_retained
DEF-015,rank 40 north overlap,ai44291,O1009 / STScI O1010,121.62624254075553,-16.977744,2.9677551508584568,5.345630074055883,32.43159645667809,-5.834504413866478,1.0,1.0,-1.0,7.576458874076346,,4.60049031762313,7.595973595336633,medium-high,faint-static/plate-texture ambiguity,True northern partial-overlap tile. Opposite-polarity H/O match; no close paired-red recurrence; Gaia ~7.58 arcsec; faint Pan-STARRS source ~4.60 arcsec. Boundary morphology-control case.
DEF-016,rank 40 north overlap,ai44291,O1009 / STScI O1010,121.4999788023884,-17.050944,1.2385931184591223,5.299235994537684,35.07612632952512,-4.71586497700599,1.0,1.0,-1.0,7.901195444040125,,3.3194794423777365,6.877955061413679,medium-high,faint-static/plate-texture ambiguity,True northern partial-overlap tile. Tight opposite-polarity H/O match; no close paired-red recurrence; Gaia ~7.90 arcsec; faint Pan-STARRS source ~3.32 arcsec. Useful artefact/static-boundary morphology control.
DEF-017,rank 41 northern overlap,ka02474,E305,313.939339651439,3.548,2.358145268321558,-4.242915924259314,4.106357953883076,14.146629771342845,-1.0,1.0,1.0,6.8162280017689545,,3.118373934628968,16.328885247801804,medium-high,faint-static/plate-texture ambiguity,True northern partial-overlap tile. H/E305 <=3 arcsec opposite-polarity match; no O305 recurrence (~16.3 arcsec); Gaia ~6.82 arcsec; faint Pan-STARRS source ~3.12 arcsec. Borderline morphology-control case.
DEF-018,rank 46 NE overlap,ai43235,O297,304.45259542022865,3.0344,2.583006742157212,-4.267084652778235,22.65845182820817,-5.276056324803209,-1.0,1.0,-1.0,4.561503666089244,,4.58155917481662,30.98676574580813,medium,likely static/astrometric-offset or plate-texture control,True NE partial-overlap tile. Same-negative-polarity H/O match; no close E297 recurrence; Gaia and Pan-STARRS both ~4.6 arcsec away. Useful control for morphology/astrometric-offset comparison.
DEF-019,rank 46 NE overlap,ai43235,O297,304.4381769553252,2.7576,1.355274509703536,5.19484261558148,22.54932309889318,-5.04274675553482,1.0,1.0,-1.0,5.785051615468015,,4.653225599104455,3.900386169270424,medium,likely faint-static/plate-texture boundary case,"Tight opposite-polarity H/O match; E297 is borderline at 3.90 arcsec; Gaia ~5.79 arcsec; Pan-STARRS ~4.65 arcsec. Retained as low-strength morphology control, not anomaly."
DEF-020,rank 28 SW tile,ai44247,O989,119.3778407587094,34.155489,0.4967667634509607,-4.026596148628048,24.60942703010963,4.124688746687664,-1.0,1.0,1.0,27.576768331387232,,3.760384088949287,26.60009349645432,medium-high,faint-static/plate-texture ambiguity,Rank-28 SW fixed tile. Very tight H/O989 match (~0.50 arcsec) but opposite polarity; no close Gaia (~27.6 arcsec) or E989 recurrence (~26.6 arcsec); faint Pan-STARRS source ~3.76 arcsec away. Retained as morphology-control boundary case.
DEF-021,rank 28 south-centre tile,ai44247,O989,121.25919937560492,33.993089,2.68182134929567,-4.470255008816435,9.34793474447164,4.036197425823146,-1.0,1.0,1.0,7.250827904377777,,6.096634773580813,7.445382523114596,medium-high,probable plate-texture/static ambiguity,Rank-28 south-centre tile. H/O989 <=3 arcsec opposite-polarity match; no close E989 recurrence (~7.45 arcsec); Gaia ~7.25 arcsec; nearest Pan-STARRS ~6.10 arcsec. Useful morphology-control case.
DEF-022,rank 28 south-centre tile,ai44247,O989,121.47994029742912,33.939489,1.730286643199599,4.207206633912599,8.555270683490917,4.357477786198082,1.0,1.0,1.0,8.876345862656674,,4.772713883619361,16.983961404666754,high,unexplained H/O point-like coincidence; probable artefact until proven otherwise,Rank-28 south-centre tile. Same-positive H/O989 match separated 1.73 arcsec; no close E989 recurrence (~16.98 arcsec); Gaia ~8.88 arcsec; Pan-STARRS ~4.77 arcsec. Retained for Villarroel/Druska morphology comparison.
DEF-023,rank 28 south-centre tile,ai44247,O989,121.41473236647448,34.204689,2.1435551571792937,6.202509203968832,4.027172901269337,4.53642007586493,1.0,1.0,1.0,21.342469082759383,,5.944469732388564,21.613852289085123,very-high,unexplained H/O point-like coincidence; probable artefact until proven otherwise,"Strong same-positive H/O989 match (H~6.20 sigma, O~4.54 sigma); no close E989 recurrence (~21.6 arcsec), Gaia (~21.3 arcsec), or Pan-STARRS (~5.94 arcsec). High-value morphology comparison case."
DEF-024,rank 28 south-centre tile,ai44247,O989,121.31378082892248,34.048689,2.3583072281581505,-5.074342454653709,27.226925010686323,4.9165288503133935,-1.0,1.0,1.0,21.892481124312656,,4.818974945072357,23.161113624456885,high,probable plate-texture coincidence,Opposite-polarity H/O989 match; no close E989 recurrence (~23.2 arcsec); Gaia ~21.9 arcsec; Pan-STARRS ~4.82 arcsec. Strong plate-defect morphology comparison case.
DEF-025,rank 28 south-east tile,ai44247,O989,123.35984984919229,34.098289,1.257963662463951,4.888561063078353,4.180223478246309,4.04459309673616,1.0,1.0,1.0,13.661696540104716,,3.4519850332570856,11.770164409657152,medium-high,faint-static/plate-texture ambiguity,Rank-28 south-east tile. Tight same-positive H/O989 match; Gaia ~13.7 arcsec and E989 ~11.8 arcsec away; Pan-STARRS ~3.45 arcsec. Retained as morphology boundary/control case.
DEF-026,rank 28 south-east tile,ai44247,O989,123.3419780458936,34.231889,2.9788606449240635,5.29551254570586,32.14476615969927,4.906475411127869,1.0,1.0,1.0,17.328031008306166,,,18.62389120888089,high,unexplained H/O point-like coincidence; PS1 check pending,"Rank-28 south-east tile. Same-positive H/O989 match; no close Gaia (~17.3 arcsec) or E989 recurrence (~18.6 arcsec). Pan-STARRS endpoint returned empty/malformed response on repeat, so static-source check remains pending."
DEF-027,rank 28 south-east tile,ai44247,O989,123.14683727474048,33.985889,2.982748386080828,-5.255988282614695,4.895367659043037,4.2777117624717,-1.0,1.0,1.0,25.257413059165817,,6.929910787549861,21.481963080908898,very-high,unexplained H/O point-like coincidence; probable artefact until proven otherwise,"Rank-28 south-east tile. Opposite-polarity H/O989 match; no close Gaia (~25.3 arcsec), E989 recurrence (~21.5 arcsec), or Pan-STARRS (~6.93 arcsec). High-value morphology comparison case."
DEF-028,rank 28 west-centre tile,ai44247,O989,119.5848252087133,35.612689,2.6745379367337243,5.779728613953384,14.863980558248622,4.686180396130874,1.0,1.0,1.0,29.695262699020773,,5.763549312027369,6.758054386299553,high,probable plate-texture/static ambiguity,Rank-28 west-centre tile. Same-positive H/O989 match; Gaia ~29.7 arcsec away; no close E989 recurrence (~6.76 arcsec); Pan-STARRS ~5.76 arcsec. Retained for morphology comparison.
DEF-029,rank 28 west-centre tile,ai44247,O989,119.68861745724956,35.462689,1.5110937653382726,4.342231303386418,4.619273785067781,4.069033727355029,1.0,1.0,1.0,35.41973180621734,,4.080874625418796,9.888877001546744,high,faint-static/plate-texture ambiguity,"Rank-28 west-centre tile. Tight same-positive H/O989 match; Gaia ~35.4 arcsec, E989 ~9.89 arcsec, Pan-STARRS ~4.08 arcsec. Useful morphology comparison boundary case."
DEF-030,rank 28 east-centre tile,ai44247,O989,123.27313932968414,35.604689,1.2112110034131724,4.951819257411215,4.067123794972625,4.63804234528131,1.0,1.0,1.0,22.01251928465227,,4.039796053889169,31.03468860899535,high,probable plate-texture/static ambiguity,Rank-28 east-centre tile. Tight same-positive H/O989 match; no close Gaia (~22.0 arcsec) or E989 recurrence (~31.0 arcsec); Pan-STARRS ~4.04 arcsec. Retained for morphology comparison.
DEF-031,rank 28 east-centre tile,ai44247,O989,123.08473918186716,35.680689,1.8854720639726128,-4.550840913622072,5.293407946081911,6.858401631687327,-1.0,1.0,1.0,24.166594363833863,,6.270306494316597,40.53170176911132,very-high,unexplained H/O point-like coincidence; probable artefact until proven otherwise,"Rank-28 east-centre tile. Opposite-polarity H/O989 match; no close Gaia (~24.2 arcsec), E989 recurrence (~40.5 arcsec), or Pan-STARRS (~6.27 arcsec). High-value Villarroel/Druska morphology comparison case."
DEF-032,rank 28 east-centre tile,ai44247,O989,123.31987043684502,35.570289,2.241032540281005,-5.245905934220269,7.474714513072931,5.367796798063716,-1.0,1.0,1.0,24.20527324149512,,3.569201399888246,29.020115182092425,high,probable plate-texture/static ambiguity,Rank-28 east-centre tile. Opposite-polarity H/O989 match; Gaia ~24.2 arcsec and E989 ~29.0 arcsec away; Pan-STARRS ~3.57 arcsec. Useful morphology boundary case.
DEF-033,rank 28 east-centre tile,ai44247,O989,123.16196848528038,35.594689,2.375614324825013,-4.494561617476563,28.441552639783577,7.571724731058478,-1.0,1.0,1.0,24.77118719243501,,3.8213822342675887,26.244127094622915,high,probable plate-texture/static ambiguity,Rank-28 east-centre tile. Opposite-polarity H/O989 match with strong O residual; no close Gaia (~24.8 arcsec) or E989 recurrence (~26.2 arcsec); Pan-STARRS ~3.82 arcsec. Retained for morphology comparison.
DEF-034,rank 28 north-west tile,ai44247,O989,119.6387907824214,37.119889,1.852808924509195,5.343712038423486,4.0382657829569455,5.413750113495492,1.0,1.0,1.0,17.3556841870757,,3.383899717926554,12.879820996886432,medium-high,faint-static/plate-texture ambiguity,Rank-28 north-west tile. Same-positive H/O989 match; Gaia ~17.4 arcsec and E989 ~12.9 arcsec away; Pan-STARRS ~3.38 arcsec. Retained as morphology boundary/control case.
DEF-035,rank 28 north-centre tile,ai44247,O989,121.3024075736923,36.994289,1.533593453170696,-4.391496674318296,27.398998360508426,4.052179231951911,-1.0,1.0,1.0,16.23532096297264,,5.295992551853957,14.98392609630486,high,probable plate-texture coincidence,"Rank-28 north-centre tile. Opposite-polarity H/O989 match; no close Gaia (~16.2 arcsec), E989 recurrence (~15.0 arcsec), or Pan-STARRS (~5.30 arcsec). Retained for morphology comparison."
DEF-036,rank 28 north-east tile,ai44247,O989,123.01516883368717,37.154689,2.1911817204955812,4.329654006025195,5.545827015311272,4.045368759476007,1.0,1.0,1.0,7.263844318579539,,4.466344442232286,17.79018274811668,medium-high,faint-static/plate-texture ambiguity,"Rank-28 north-east tile. Same-positive H/O989 match; E989 ~17.8 arcsec away, Gaia ~7.26 arcsec, Pan-STARRS ~4.47 arcsec. Retained as morphology boundary/control case."
DEF-037,rank 28 north-east tile,ai44247,O989,123.0287086362948,37.025489,2.230567748468398,6.510007851243452,13.664031290385408,5.3443944512933195,1.0,1.0,1.0,13.36856111640809,,9.403177156985572,13.778556244237652,very-high,unexplained H/O point-like coincidence; probable artefact until proven otherwise,"Rank-28 north-east tile. Strong same-positive H/O989 match (H~6.51 sigma, O~5.34 sigma); no close Gaia (~13.4 arcsec), E989 recurrence (~13.8 arcsec), or Pan-STARRS (~9.40 arcsec). High-value morphology comparison case."
DEF-038,rank 28 north-east tile,ai44247,O989,123.01416588534586,36.993089,2.898529077068839,-4.103839079471999,31.159814990278782,-4.343956003051824,-1.0,1.0,-1.0,13.584081194226984,,3.4044669875904687,12.891068519850153,medium-high,faint-static/plate-texture ambiguity,Rank-28 north-east tile. Same-negative H/O989 match; no close E989 recurrence (~12.9 arcsec) or Gaia (~13.6 arcsec); Pan-STARRS ~3.40 arcsec. Boundary morphology-control case.
DEF-039,rank 28 north-east tile,ai44247,O989,123.36018306309639,37.203889,0.9675310867576729,-4.687416425437987,4.353601066268216,4.210936234351442,-1.0,1.0,1.0,20.736766256854633,,3.475755110566976,11.445699310310404,high,probable plate-texture/static ambiguity,Rank-28 north-east tile. Very tight opposite-polarity H/O989 match; Gaia ~20.7 arcsec and E989 ~11.45 arcsec away; Pan-STARRS ~3.48 arcsec. Useful morphology comparison case.
DEF-040,rank 28 north-east tile,ai44247,O989,123.06030150904594,37.043489,1.4543843092913544,-5.821265736349059,4.133977791725609,4.565839745177198,-1.0,1.0,1.0,23.061817528406944,,7.352779592307673,21.98449975347132,very-high,unexplained H/O point-like coincidence; probable artefact until proven otherwise,"Rank-28 north-east tile. Opposite-polarity H/O989 match; no close Gaia (~23.1 arcsec), E989 recurrence (~22.0 arcsec), or Pan-STARRS (~7.35 arcsec). High-value morphology comparison case."
DEF-041,rank 28 north-east tile,ai44247,O989,123.03422485217199,37.028289,1.3556019083539268,-6.347318008799473,13.664031290385408,4.025584231670479,-1.0,1.0,1.0,29.118845849627355,,3.4318129325878717,29.406747494075656,high,probable plate-texture/static ambiguity,Rank-28 north-east tile. Tight opposite-polarity H/O989 match; Gaia ~29.1 arcsec and E989 ~29.4 arcsec away; Pan-STARRS ~3.43 arcsec. Retained for morphology comparison.
